fit_name,response_model,predictor_set,predictor,target,scale,mean,median,sd,lower_95,upper_95,probability_positive,probability_negative,probability_direction
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,anxiety,relative_difference_logit_alpha,difference in logit(alpha),-0.15444703064153167,-0.14891986000000001,0.5201592919596919,-1.1655216425000001,0.8594827502499999,0.38033333333333336,0.6196666666666667,0.6196666666666667
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,anxiety,stable_logit_alpha,logit(alpha),0.24308498940653434,0.249324715,0.3735749007608541,-0.49475091350000006,0.9610017557499997,0.7408333333333333,0.25916666666666666,0.7408333333333333
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,anxiety,volatile_logit_alpha,logit(alpha),0.08863795868666334,0.08522779850000001,0.3725626438455808,-0.6390680747499999,0.8108322824999994,0.5918333333333333,0.4081666666666667,0.5918333333333333
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,avoidance,relative_difference_logit_alpha,difference in logit(alpha),-0.350312952196924,-0.34766625500000004,0.5129789139824527,-1.3518523674999998,0.6567537637499992,0.2485,0.7515,0.7515
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,avoidance,stable_logit_alpha,logit(alpha),0.08530983684796617,0.0858853225,0.373809834210461,-0.640719323,0.8265011189999997,0.5981666666666666,0.4018333333333333,0.5981666666666666
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,avoidance,volatile_logit_alpha,logit(alpha),-0.2650031152339425,-0.26425889,0.37095725753414405,-0.99436616125,0.45537580899999974,0.24,0.76,0.76
M3_block_alpha_stickiness__attachment_insecurity,M3_block_alpha_stickiness,attachment_insecurity,insecurity,relative_difference_logit_alpha,difference in logit(alpha),-0.35284147296413,-0.35506024999999997,0.5212240287656079,-1.3647050775,0.6733118210000001,0.24983333333333332,0.7501666666666666,0.7501666666666666
M3_block_alpha_stickiness__attachment_insecurity,M3_block_alpha_stickiness,attachment_insecurity,insecurity,stable_logit_alpha,logit(alpha),0.235384514848222,0.238860835,0.38905352009132593,-0.5233341212500001,1.0085748425,0.7255,0.2745,0.7255
M3_block_alpha_stickiness__attachment_insecurity,M3_block_alpha_stickiness,attachment_insecurity,insecurity,volatile_logit_alpha,logit(alpha),-0.11745695820456167,-0.11538279,0.36401735901210536,-0.8320912215,0.6021034814999999,0.37733333333333335,0.6226666666666667,0.6226666666666667
M4_block_alpha_full_response__attachment_dimensions,M4_block_alpha_full_response,attachment_dimensions,anxiety,relative_difference_logit_alpha,difference in logit(alpha),-0.14076178347463467,-0.141030035,0.5164879497249861,-1.1345059524999999,0.8499464662499999,0.3945,0.6055,0.6055
M4_block_alpha_full_response__attachment_dimensions,M4_block_alpha_full_response,attachment_dimensions,anxiety,stable_logit_alpha,logit(alpha),0.2508679773181815,0.2501209,0.37814137497920636,-0.48833717800000004,0.98792603925,0.7505,0.2495,0.7505
M4_block_alpha_full_response__attachment_dimensions,M4_block_alpha_full_response,attachment_dimensions,anxiety,volatile_logit_alpha,logit(alpha),0.110106193949708,0.10668554,0.3601037244626866,-0.58888271725,0.8090267544999997,0.6241666666666666,0.37583333333333335,0.6241666666666666
M4_block_alpha_full_response__attachment_dimensions,M4_block_alpha_full_response,attachment_dimensions,avoidance,relative_difference_logit_alpha,difference in logit(alpha),-0.34164842027349,-0.341362815,0.506625078364196,-1.345620345,0.6385322364999996,0.251,0.749,0.749
M4_block_alpha_full_response__attachment_dimensions,M4_block_alpha_full_response,attachment_dimensions,avoidance,stable_logit_alpha,logit(alpha),0.07313153577084666,0.0770117025,0.3692165807390836,-0.64466771325,0.7934961174999996,0.5806666666666667,0.41933333333333334,0.5806666666666667
M4_block_alpha_full_response__attachment_dimensions,M4_block_alpha_full_response,attachment_dimensions,avoidance,volatile_logit_alpha,logit(alpha),-0.26851688440927,-0.26951532,0.36348133427130036,-0.97888523425,0.4482817024999995,0.22883333333333333,0.7711666666666667,0.7711666666666667
M4_block_alpha_full_response__attachment_insecurity,M4_block_alpha_full_response,attachment_insecurity,insecurity,relative_difference_logit_alpha,difference in logit(alpha),-0.33590103146811,-0.33511249,0.5355492709572648,-1.3715291425,0.7233327940000001,0.26166666666666666,0.7383333333333333,0.7383333333333333
M4_block_alpha_full_response__attachment_insecurity,M4_block_alpha_full_response,attachment_insecurity,insecurity,stable_logit_alpha,logit(alpha),0.23336781574738666,0.233195035,0.3824540523541135,-0.520992048,0.9792087257499998,0.7281666666666666,0.2718333333333333,0.7281666666666666
M4_block_alpha_full_response__attachment_insecurity,M4_block_alpha_full_response,attachment_insecurity,insecurity,volatile_logit_alpha,logit(alpha),-0.10253321554332,-0.10300442,0.3823123898621684,-0.8432210675,0.6438891972499998,0.396,0.604,0.604
