model,replication,maximum_rhat,minimum_bulk_ess,minimum_tail_ess,divergences,maximum_treedepth_hits
M3_block_alpha_stickiness,1,1.008707221567118,566.9008122009803,698.0979247016801,0,0
M3_block_alpha_stickiness,2,1.006490670010775,549.4330481027968,1085.6307231608878,0,0
M3_block_alpha_stickiness,3,1.0133673733276334,492.932108913278,603.8610586108564,0,0
M3_block_alpha_stickiness,4,1.0074555268003496,748.5813930004381,868.5022304062542,0,0
M3_block_alpha_stickiness,5,1.0116175398639817,520.0865734604319,618.7726506859987,0,0
M4_block_alpha_full_response,1,1.0075555118142066,755.9336078299265,1213.433835627818,0,0
M4_block_alpha_full_response,2,1.0143274970138825,519.0886142217835,1046.238819744695,0,0
M4_block_alpha_full_response,3,1.0137767017507973,499.6122574196176,129.21306384730718,0,0
M4_block_alpha_full_response,4,1.0069579250401133,503.0453744077298,1067.1967584300828,0,0
M4_block_alpha_full_response,5,1.0062341811515596,650.331186754317,1118.652280158939,0,0
M7_single_alpha_full_response,1,1.0091107198806455,760.9063318569525,1301.98919515158,0,0
M7_single_alpha_full_response,2,1.0149979655703705,397.2045535583724,588.6820941944487,0,0
M7_single_alpha_full_response,3,1.0100581502919987,616.1722660776131,1144.1393181316046,0,0
M7_single_alpha_full_response,4,1.0091782802080602,744.1333222717399,961.7390064353515,0,0
M7_single_alpha_full_response,5,1.007128143026926,781.5657252071748,1310.5249408451252,0,0
