model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M3_block_alpha_stickiness,1,-1.3760773172725003,1.8935887831118814,FALSE,group_mu_alpha_stable_raw,mu_alpha_raw[1],-2.5149863172725,-2.51351345,-3.392890655,-1.6419416000000004,1.0071546425135671,954.2318724409885,1836.3669749153391,-1.138909
M3_block_alpha_stickiness,1,0.15128085208297504,0.022885896206950973,TRUE,group_mu_alpha_volatile_raw,mu_alpha_raw[2],-0.682414927917025,-0.6938188,-1.4086465600000002,0.08567468559999937,1.0026485803776422,1153.8603483343818,1905.093460631457,-0.83369578
M3_block_alpha_stickiness,1,-0.33000207820000016,0.10890137161631902,TRUE,group_sigma_alpha_stable_raw,sigma_alpha_raw[1],2.7614676218,2.7392045,2.2016170150000005,3.379522555,1.0017242753560271,2966.3154265129037,3092.8190420006854,3.0914697
M3_block_alpha_stickiness,1,-0.049823149749999907,0.002482346251010916,TRUE,group_sigma_alpha_volatile_raw,sigma_alpha_raw[2],2.51756485025,2.4964472,1.993680905,3.13923549,1.0005565277049013,2862.5251419986407,2861.5598058533214,2.567388
M3_block_alpha_stickiness,1,0.058457311656958,0.0034172572861587177,TRUE,group_mu_beta_raw,mu_beta_raw,0.306407511656958,0.31278972000000005,-0.04716992904999999,0.645410009,1.0081372360225689,566.9008122009803,991.4052140329719,0.2479502
M3_block_alpha_stickiness,1,-0.2477634042525001,0.061386704486787784,TRUE,group_sigma_beta_raw,sigma_beta_raw,1.4982864957475,1.48133465,1.2227364200000002,1.8357067299999998,1.002625190434534,1013.1584194308972,1867.923168926937,1.7460499
M3_block_alpha_stickiness,1,0.07815356591698297,0.006107979865540202,TRUE,alpha_stable,"alpha[1,1]",0.335712185916983,0.26132727499999997,0.0158775454,0.9081964135,1.0018307372611137,5173.10489370811,2596.544598794845,0.25755862
M3_block_alpha_stickiness,1,-0.016550316186367944,2.739129658687528e-4,TRUE,alpha_stable,"alpha[2,1]",0.09491823381363206,0.0596450535,0.006356844505000002,0.2928441614999995,0.9995162768818102,5563.252275886712,2076.484599132095,0.11146855
M3_block_alpha_stickiness,1,0.10261005354409303,0.010528823088321638,FALSE,alpha_stable,"alpha[3,1]",0.10842318474409303,0.0640341765,0.0075302981900000005,0.35268911399999997,1.0011466870108647,4332.441880789133,1531.3698686668747,0.0058131312
M3_block_alpha_stickiness,1,-0.257259166085665,0.06618227853509177,FALSE,alpha_stable,"alpha[4,1]",0.725173773914335,0.759552035,0.3393098115,0.9794732095,1.0000887667153089,4595.088981801107,1827.699174448405,0.98243294
M3_block_alpha_stickiness,1,0.16779236264472774,0.028154276961899826,TRUE,alpha_stable,"alpha[5,1]",0.17746928904472775,0.041395593,5.85657283e-4,0.8611692939999986,1.0002413574107127,6389.511272930595,2373.025382370731,0.0096769264
M3_block_alpha_stickiness,1,-0.17893453251257496,0.03201756692549375,TRUE,alpha_stable,"alpha[6,1]",0.797836137487425,0.871180375,0.2786960145,0.992282384,1.0001810082545513,4773.146340154948,1665.0937674498311,0.97677067
M3_block_alpha_stickiness,1,-0.5571927396516699,0.31046374912053365,TRUE,alpha_stable,"alpha[7,1]",0.2543144203483301,0.0766858115,7.430059209999999e-4,0.9382629649999997,1.0001668159157904,4559.10980556655,2922.311426075555,0.81150716
M3_block_alpha_stickiness,1,-0.009316113369517015,8.678996831369367e-5,TRUE,alpha_stable,"alpha[8,1]",0.17222633663048298,0.0385273515,4.888141890000001e-4,0.8304978765,1.0003187299352618,4903.040502538915,3212.6359971121447,0.18154245
M3_block_alpha_stickiness,1,0.22052098926319544,0.04862950670561836,TRUE,alpha_stable,"alpha[9,1]",0.22381104776319544,0.069695373,6.831199665000001e-4,0.8762878845,1.000175478993723,6077.462842413516,2741.8121284691524,0.0032900585
M3_block_alpha_stickiness,1,1.6768583605362552e-4,2.8118539613003376e-8,TRUE,alpha_stable,"alpha[10,1]",0.004352429636053625,0.0037310699499999997,2.8726062300000007e-4,0.010595797599999998,1.0007928294822581,3138.294101927044,2416.212033672598,0.0041847438
M3_block_alpha_stickiness,1,0.15537104571549226,0.024140161846725586,TRUE,alpha_stable,"alpha[11,1]",0.15652969301549227,0.0463028215,6.236052775e-4,0.7144049964999991,1.0000070782018085,6227.839756768016,3015.923941197219,0.0011586473
M3_block_alpha_stickiness,1,0.10989315130074997,0.012076504702809526,TRUE,alpha_stable,"alpha[12,1]",0.33444482130075,0.33113653,0.16516402700000002,0.5233223704999997,1.0020725024219141,4911.183482710587,3108.0199871042078,0.22455167
M3_block_alpha_stickiness,1,-0.5447735194470688,0.2967781874907458,TRUE,alpha_stable,"alpha[13,1]",0.21979229055293126,0.0544795675,4.619686205000003e-4,0.9077981844999997,1.0004946947474356,5625.785692131044,2975.977268942472,0.76456581
M3_block_alpha_stickiness,1,0.215262998490454,0.0463381585191012,TRUE,alpha_stable,"alpha[14,1]",0.237261591490454,0.08406025,8.96509594e-4,0.9099270949999997,1.0019528928135917,6003.340121647642,2887.6353028832127,0.021998593
M3_block_alpha_stickiness,1,-0.06396547636532245,0.004091582166642624,TRUE,alpha_stable,"alpha[15,1]",0.021428236634677546,0.00700838975,2.1634395650000003e-4,0.09134852049999993,0.9992571510034811,6652.155480071961,3141.8473470703834,0.085393713
M3_block_alpha_stickiness,1,0.042104705207299115,0.0017728062005935611,TRUE,alpha_stable,"alpha[16,1]",0.17663450520729912,0.044270534,5.837498130000001e-4,0.8158627364999996,0.9995884123333009,6645.601960851353,2906.5179570672913,0.1345298
M3_block_alpha_stickiness,1,0.19831295186929196,0.03932802687911211,TRUE,alpha_stable,"alpha[17,1]",0.21581291586929197,0.0817787035,7.998813515000002e-4,0.8407367554999997,1.0011048630087116,6808.821817169644,2819.1715913342978,0.017499964
M3_block_alpha_stickiness,1,0.07703802642992648,0.005934857516218051,TRUE,alpha_stable,"alpha[18,1]",0.13208048442992648,0.037140579,5.633662585e-4,0.6352320989999994,1.0003785197809052,5787.592854888122,2827.950737793373,0.055042458
M3_block_alpha_stickiness,1,-0.8234205606830497,0.6780214197555879,FALSE,alpha_stable,"alpha[19,1]",0.14486053931695034,0.032262902499999996,3.93909367e-4,0.735647034,0.9997013109641146,6501.22319757433,3005.116845080168,0.9682811
M3_block_alpha_stickiness,1,-0.5543712689145048,0.3073275037978782,TRUE,alpha_stable,"alpha[20,1]",0.2631038210854952,0.0881437075,6.388274845000001e-4,0.9431494919999996,1.0009759044008921,6955.628330070024,2753.6654527218225,0.81747509
M3_block_alpha_stickiness,1,-0.07170833125221421,0.005142084770977281,TRUE,alpha_stable,"alpha[21,1]",0.23822820874778577,0.117591695,0.0011424767350000002,0.8325908515,1.001530057972411,5256.503938947211,3039.5496589848485,0.30993654
M3_block_alpha_stickiness,1,-0.17714113192603764,0.031378980620037876,TRUE,alpha_stable,"alpha[22,1]",0.15893450807396237,0.0468715935,6.883564850000001e-4,0.7881580694999993,0.9996849413443343,5548.535356636087,2770.5521655558478,0.33607564
M3_block_alpha_stickiness,1,8.063733539325024e-4,6.502379859323529e-7,TRUE,alpha_stable,"alpha[23,1]",0.0014409709439325024,9.369845e-4,5.656824239999999e-5,0.004436970099999999,1.001243015392987,5204.403714479749,3183.14986743079,6.3459759e-4
M3_block_alpha_stickiness,1,-0.015676591347412977,2.4575551627378344e-4,TRUE,alpha_stable,"alpha[24,1]",0.06400495465258703,0.053265144,0.006020284645,0.15531040899999993,1.0002724197213817,4718.282296587805,1772.8487293552166,0.079681546
M3_block_alpha_stickiness,1,-0.35403232504867127,0.12533888717936803,TRUE,alpha_stable,"alpha[25,1]",0.25794938495132874,0.153811545,0.0014202406850000004,0.8426459354999999,1.0015302515793434,4750.312771347249,2905.943423565931,0.61198171
M3_block_alpha_stickiness,1,0.007405418927675,5.4840229494367144e-5,FALSE,alpha_stable,"alpha[26,1]",0.013301280027675,0.012908695,0.0063646482,0.02147640354999999,0.9997599724781169,4118.815231245559,3492.9690013900486,0.0058958611
M3_block_alpha_stickiness,1,-0.0035350235386905245,1.2496391419096078e-5,TRUE,alpha_stable,"alpha[27,1]",0.013030424461309476,0.00448959885,1.638273055e-4,0.04310846639999996,1.0013532932132714,5743.7135421141165,2434.517978157347,0.016565448
M3_block_alpha_stickiness,1,0.06258360496519987,0.003916707610440189,TRUE,alpha_stable,"alpha[28,1]",0.17595720496519987,0.0621793715,0.001069913625,0.7919010049999999,1.0022453064198806,6258.713494374364,3159.6483233388108,0.1133736
M3_block_alpha_stickiness,1,-0.64942120830542,0.42174790579687177,FALSE,alpha_stable,"alpha[29,1]",0.20495570169458,0.066075153,6.604178680000001e-4,0.8363328394999999,1.0022556045127564,5183.224638482546,2767.434474848119,0.85437691
M3_block_alpha_stickiness,1,-0.4546018899939749,0.20666287838609404,TRUE,alpha_stable,"alpha[30,1]",0.1880823400060251,0.062154592499999994,5.72834876e-4,0.7513799159999998,1.000314944914994,4864.823345365473,2887.5015914516134,0.64268423
M3_block_alpha_stickiness,1,-0.4269717081645698,0.18230483957297056,TRUE,alpha_stable,"alpha[31,1]",0.38808929183543023,0.292525625,0.006731139605,0.9639909845000001,1.002291898969416,4801.333275589258,2575.3196797734304,0.815061
M3_block_alpha_stickiness,1,-0.3212313763005911,0.10318959711997197,TRUE,alpha_stable,"alpha[32,1]",0.21017754369940883,0.044900361,9.05798104e-4,0.8643685189999999,1.0001116818614186,4462.5138887606645,3163.881552113106,0.53140892
M3_block_alpha_stickiness,1,0.12362957805060323,0.015284272568970197,TRUE,alpha_stable,"alpha[33,1]",0.25192777805060323,0.12402495,0.001155228885,0.8852878109999995,1.0014941635601182,7005.224339539944,3275.1239796178866,0.1282982
M3_block_alpha_stickiness,1,-0.010271955794329879,1.0551307584066718e-4,TRUE,alpha_stable,"alpha[34,1]",0.02454165720567012,0.0069869475,1.8652087350000003e-4,0.10582561399999997,1.0011223046211188,6489.754358333624,2706.6457672206743,0.034813613
M3_block_alpha_stickiness,1,0.00164397014713514,2.702637844671534e-6,FALSE,alpha_stable,"alpha[35,1]",0.00174135211813514,0.0014920776,1.000147835e-4,0.004312220915,1.0008736897464423,3418.0084049952366,2586.9196147429407,9.7381971e-5
M3_block_alpha_stickiness,1,-0.7232843629191636,0.5231402696433805,FALSE,alpha_stable,"alpha[36,1]",0.17327118708083636,0.0408512135,5.106223455e-4,0.79309382,1.00052042713488,5968.522681266295,2796.4665348566505,0.89655555
M3_block_alpha_stickiness,1,-0.7085407874034406,0.5020300474142876,FALSE,alpha_stable,"alpha[37,1]",0.2158988525965594,0.0875956965,9.202467455e-4,0.884226254,1.0002816008350635,6087.5151908587795,2939.681489489624,0.92443964
M3_block_alpha_stickiness,1,0.1879627500806065,0.03532999541786454,TRUE,alpha_stable,"alpha[38,1]",0.2471588030806065,0.11161008,0.0013565998400000005,0.9337951269999998,1.001362995572937,5407.376826864397,2848.812786153695,0.059196053
M3_block_alpha_stickiness,1,-0.5605814806230449,0.31425159641752526,TRUE,alpha_stable,"alpha[39,1]",0.35279082937695505,0.169944045,0.0010818212300000001,0.9742326655,1.000452006993405,4337.967965272628,2944.728869321632,0.91337231
M3_block_alpha_stickiness,1,-0.0011244684362941475,1.2644292642218053e-6,TRUE,alpha_stable,"alpha[40,1]",0.0017004419637058526,0.0011230298,6.56234774e-5,0.005409999694999999,1.0004140286491863,4870.664977898264,3014.170502573946,0.0028249104
M3_block_alpha_stickiness,1,-0.7820076023550534,0.6115358901410993,FALSE,alpha_stable,"alpha[41,1]",0.1886706076449466,0.064247906,8.7524461e-4,0.8295986925000001,1.000504784835207,6640.302785172236,2568.945555262429,0.97067821
M3_block_alpha_stickiness,1,0.004656869565354778,2.1686434148727597e-5,TRUE,alpha_stable,"alpha[42,1]",0.026479058565354777,0.013927356,5.217746704999999e-4,0.0784580199999999,0.9994200430621987,4569.485547319867,2546.015508070337,0.021822189
M3_block_alpha_stickiness,1,-0.2628028542891301,0.06906534022251373,TRUE,alpha_stable,"alpha[43,1]",0.1972280957108699,0.13276225,0.015019407950000003,0.5945247954999998,1.0010321682382246,5942.736170700546,2201.903549492195,0.46003095
M3_block_alpha_stickiness,1,-0.11535310024385004,0.013306337735867715,TRUE,alpha_stable,"alpha[44,1]",0.76012121975615,0.800727685,0.38744026249999997,0.9871453935,1.0022983334802538,5709.0865417854275,2032.6434876637109,0.87547432
M3_block_alpha_stickiness,1,-0.02331500372316153,5.43589398611036e-4,TRUE,alpha_stable,"alpha[45,1]",0.7894126662768385,0.85235372,0.2996946585,0.9900443109999999,1.0008757842151417,2543.554398901684,698.0979247016801,0.81272767
M3_block_alpha_stickiness,1,-0.0360313459425,0.0012982578904281114,TRUE,alpha_stable,"alpha[46,1]",0.1173174040575,0.102652875,0.047788938600000004,0.23068835949999988,1.0015765137532207,7354.550054930706,2753.5884176374607,0.15334875
M3_block_alpha_stickiness,1,0.16573070742355162,0.027466667383110866,TRUE,alpha_stable,"alpha[47,1]",0.18009062042355162,0.04590998,5.594431135000002e-4,0.8472858709999992,0.9997303319726175,7501.24438488172,2211.8559873437544,0.014359913
M3_block_alpha_stickiness,1,0.2478732142487277,0.06144113034199567,FALSE,alpha_stable,"alpha[48,1]",0.24868954333872773,0.11154509,0.0011325184700000004,0.8909387379999998,1.000303665945956,5262.773969996096,2651.1786238592567,8.1632909e-4
