model,parameter_class,n_replications,mean_true_value,mean_recovered_value,mean_bias,rmse,interval_coverage
M3_block_alpha_stickiness,group_mu_alpha_stable_raw,5,-1.537218118,-2.08210494304575,-0.5448868250457501,0.7307859709180049,0.8
M3_block_alpha_stickiness,group_mu_alpha_volatile_raw,5,-0.72754251,-1.315895450395355,-0.588352940395355,0.7735364293381964,0.6
M3_block_alpha_stickiness,group_mu_beta_raw,5,-0.04041709539999999,0.3006143150912528,0.3410314104912528,0.4920776687265221,0.8
M3_block_alpha_stickiness,group_mu_rho,5,0.465523396,0.482237330698235,0.01671393469823501,0.041128038962829114,1
M3_block_alpha_stickiness,group_sigma_alpha_stable_raw,5,3.04334156,2.51028230107,-0.5330592589300001,0.6603049840579384,0.6
M3_block_alpha_stickiness,group_sigma_alpha_volatile_raw,5,2.5274658,2.21666899981,-0.31079680018999994,0.38181919184233665,0.8
M3_block_alpha_stickiness,group_sigma_beta_raw,5,1.9648999,1.5357501515875,-0.4291497484125001,0.4862007893870826,0.4
M3_block_alpha_stickiness,group_sigma_rho,5,0.699135974,0.6789136113235,-0.020222362676500016,0.0420736543452292,1
M4_block_alpha_full_response,group_mu_alpha_stable_raw,5,-1.46313764,-2.3374768176379597,-0.8743391776379594,0.8960705173805558,0.6
M4_block_alpha_full_response,group_mu_alpha_volatile_raw,5,-1.087110166,-1.2167517819237494,-0.12964161592374948,0.37933102093655374,0.8
M4_block_alpha_full_response,group_mu_beta_raw,5,0.1879535726,0.41959406104534364,0.23164048844534363,0.4089614997281306,0.6
M4_block_alpha_full_response,group_mu_rho,5,0.621566886,0.584595331807,-0.03697155419299995,0.10569895949157138,0.8
M4_block_alpha_full_response,group_mu_side,5,-0.2597668228,-0.2157050023875331,0.04406182041246691,0.15149688444144635,0.8
M4_block_alpha_full_response,group_sigma_alpha_stable_raw,5,2.6402945,2.511238534865,-0.12905596513499998,0.34057649571573273,0.8
M4_block_alpha_full_response,group_sigma_alpha_volatile_raw,5,2.8386649999999998,2.505818047655,-0.33284695234499984,0.4260444812757513,0.8
M4_block_alpha_full_response,group_sigma_beta_raw,5,1.88915174,1.4288416992265,-0.4603100407735,0.48719960338382123,0.2
M4_block_alpha_full_response,group_sigma_rho,5,0.72343834,0.672615779295,-0.050822560705,0.08004997477068276,0.8
M4_block_alpha_full_response,group_sigma_side,5,0.8025721020000001,0.7837825953035,-0.018789506696500036,0.08777990689571163,0.8
M7_single_alpha_full_response,group_mu_alpha_general_raw,5,-0.880082736,-1.6623238734977699,-0.78224113749777,0.9412811055189801,0.6
M7_single_alpha_full_response,group_mu_beta_raw,5,0.08061201139999999,0.30608676806925633,0.22547475666925632,0.27070441908419973,0.8
M7_single_alpha_full_response,group_mu_rho,5,0.54975082,0.537987278476,-0.011763541523999999,0.11492656896193477,0.8
M7_single_alpha_full_response,group_mu_side,5,-0.22614887420000002,-0.23387879967954386,-0.007729925479543853,0.177594297364698,0.4
M7_single_alpha_full_response,group_sigma_alpha_general_raw,5,3.04007964,2.64679146414,-0.3932881758599998,0.43105483135877287,0.8
M7_single_alpha_full_response,group_sigma_beta_raw,5,1.5169019,1.5038731522905,-0.013028747709499956,0.10319778729036526,1
M7_single_alpha_full_response,group_sigma_rho,5,0.664269818,0.6571528038235,-0.007117014176499991,0.0744636744901954,0.8
M7_single_alpha_full_response,group_sigma_side,5,0.718465132,0.720868553645,0.002403421644999981,0.0735808161771303,0.8
