model,parameter_class,n_replications,mean_pearson_r,median_pearson_r,mean_spearman_rho,mean_bias,mean_rmse,mean_interval_coverage
M3_block_alpha_stickiness,alpha_stable,5,0.6147103389534652,0.5987121106477337,0.6239597902097902,-0.07229646311807332,0.2791000834057911,0.8184615384615385
M3_block_alpha_stickiness,alpha_volatile,5,0.6714645815530565,0.6878642402764314,0.6756118881118881,-0.07144400650088262,0.269330601634322,0.836923076923077
M3_block_alpha_stickiness,beta,5,0.977302204675335,0.9889703324476817,0.9231118881118882,-1.0309286383808105,9.565669399286685,0.8184615384615385
M3_block_alpha_stickiness,delta_alpha,5,0.4933701831466492,0.4989960333983458,0.5359178321678322,8.5245655550307e-4,0.3434914926247638,0.8923076923076924
M3_block_alpha_stickiness,delta_log_alpha,5,0.49530468638333897,0.5242868723493354,0.545437062937063,0.04776738253672894,1.929422321256418,0.8861538461538462
M3_block_alpha_stickiness,rho,5,0.9300544643414407,0.9268631182285096,0.9088111888111888,-0.025513407306358614,0.25934299816546064,0.8707692307692307
M4_block_alpha_full_response,alpha_stable,5,0.5723905428247358,0.585884044014579,0.6311713286713286,-0.09895559552466499,0.281196623500472,0.8830769230769231
M4_block_alpha_full_response,alpha_volatile,5,0.7159035778970102,0.729664225101455,0.6928146853146853,-0.03531001553318777,0.25397003811960284,0.88
M4_block_alpha_full_response,beta,5,0.9849685789978456,0.985825268197018,0.9275087412587413,-1.2186678848047114,11.829020521661352,0.84
M4_block_alpha_full_response,delta_alpha,5,0.5823686370482197,0.5915809368236411,0.5335052447552447,0.06364557986818752,0.33357639322995075,0.8769230769230769
M4_block_alpha_full_response,delta_log_alpha,5,0.592410146721583,0.5943722467983328,0.5911101398601398,0.5509233136870302,2.013377471993815,0.916923076923077
M4_block_alpha_full_response,rho,5,0.9264570915946608,0.9302736252357143,0.9090034965034965,-0.008952129185935968,0.2578141279424278,0.8830769230769231
M4_block_alpha_full_response,side_bias,5,0.9462446307936578,0.9510771992986004,0.874965034965035,0.023685580267051587,0.2610394302177718,0.9015384615384615
M7_single_alpha_full_response,alpha_general,5,0.6587536233313338,0.6829451794751267,0.6423863636363637,-0.07618517506670129,0.2840088283385739,0.8461538461538461
M7_single_alpha_full_response,beta,5,0.9611512023509173,0.9822871282942762,0.9170804195804195,-0.28800738251202185,8.353680892862235,0.8676923076923078
M7_single_alpha_full_response,rho,5,0.9350025844868081,0.9297476102823756,0.9215646853146853,-0.02997733933825467,0.2412907509532051,0.9015384615384615
M7_single_alpha_full_response,side_bias,5,0.9405455704654803,0.9455449025289323,0.8503846153846154,0.011713437915265216,0.26271677950403854,0.8830769230769231
