model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M4_block_alpha_full_response,3,-0.8550649940422974,0.7311361440365541,TRUE,group_mu_alpha_stable_raw,mu_alpha_raw[1],-1.9304229940422974,-1.9281621,-2.836803345,-1.0434062400000002,1.0000745848645007,1027.5975721045193,1582.6505368841808,-1.075358
M4_block_alpha_full_response,3,0.010839187271524997,1.1748798070718951e-4,TRUE,group_mu_alpha_volatile_raw,mu_alpha_raw[2],-0.686855382728475,-0.696233085,-1.57819482,0.21942651899999974,1.001930097699586,1075.197687736853,1617.5466750671226,-0.69769457
M4_block_alpha_full_response,3,0.2607962821750003,0.06801470079630237,TRUE,group_sigma_alpha_stable_raw,sigma_alpha_raw[1],2.851289582175,2.82384155,2.280513805,3.5058676849999992,1.0003375040054774,2642.7757809201526,2940.556934256521,2.5904933
M4_block_alpha_full_response,3,-0.06626081607499978,0.00439049574692495,TRUE,group_sigma_alpha_volatile_raw,sigma_alpha_raw[2],2.998416583925,2.98085255,2.4024217,3.6837956999999992,1.0002964260801055,2846.743625591167,2993.3361081103317,3.0646774
M4_block_alpha_full_response,3,-0.11319601281294,0.012813337316747279,TRUE,group_mu_beta_raw,mu_beta_raw,0.31422886718706,0.320122205,-0.07089529889999999,0.669342386,1.0007664463598012,499.6122574196176,1237.129206373392,0.42742488
M4_block_alpha_full_response,3,-0.3800504226475001,0.14443832375454346,FALSE,group_sigma_beta_raw,sigma_beta_raw,1.5441604773525,1.52968395,1.263446485,1.8764269749999998,1.0038148785234666,1130.3769230042858,2170.8179308503577,1.9242109
M4_block_alpha_full_response,3,-0.22161854809529835,0.04911478085986807,TRUE,alpha_stable,"alpha[1,1]",0.5323498919047016,0.56972088,0.017448089649999998,0.976977504,1.0010227932857896,3801.352542693842,2686.1760320495328,0.75396844
M4_block_alpha_full_response,3,0.22871731147347946,0.05231160856765662,TRUE,alpha_stable,"alpha[2,1]",0.24253389047347945,0.0976146435,0.0014821894200000001,0.9134242465,1.0003840726037139,5061.522094029929,2865.731829893478,0.013816579
M4_block_alpha_full_response,3,0.017684345244859997,3.127360667394024e-4,TRUE,alpha_stable,"alpha[3,1]",0.02406186324486,0.017073183,0.005179447435000001,0.05069599529999998,1.0004294999802759,3237.054231663245,1866.2669336229144,0.006377518
M4_block_alpha_full_response,3,-0.363954086716364,0.1324625772375426,TRUE,alpha_stable,"alpha[4,1]",0.588354043283636,0.63880492,0.026395396350000003,0.975424835,1.00196292021977,3950.7876004424074,2478.4124875496927,0.95230813
M4_block_alpha_full_response,3,-0.568219917374529,0.3228738745011166,TRUE,alpha_stable,"alpha[5,1]",0.294096162625471,0.1607016,0.0025338172300000002,0.9372037934999999,1.000898048921344,5761.479439328783,2794.7060870716095,0.86231608
