model,replication,bias,squared_error,covered,parameter_class,parameter,recovered_mean,recovered_median,lower_interval,upper_interval,rhat,ess_bulk,ess_tail,true_value
M7_single_alpha_full_response,4,-0.21591199162249985,0.04661798812639445,TRUE,group_mu_alpha_general_raw,mu_alpha_raw[1],-1.7755609916225,-1.7928514,-2.4633326149999997,-1.0505340550000002,1.0038739071168652,1185.4897058721178,1880.3532468507162,-1.559649
M7_single_alpha_full_response,4,-0.17809270024999968,0.031717009882336236,TRUE,group_sigma_alpha_general_raw,sigma_alpha_raw[1],2.63204009975,2.6053072,2.12439776,3.23909785,1.0008209292263321,2114.6310462836514,3090.4039671101423,2.8101328
M7_single_alpha_full_response,4,0.4544268550864055,0.206503766623721,FALSE,group_mu_beta_raw,mu_beta_raw,0.3211454850864055,0.33250593500000003,-0.04278054804999999,0.6649626455,1.006687650204015,749.7735969744714,1309.0342657593064,-0.13328137
M7_single_alpha_full_response,4,-0.17494266553999993,0.03060493622624028,TRUE,group_sigma_beta_raw,sigma_beta_raw,1.46444753446,1.4491597,1.1893314750000001,1.7974265649999999,1.0050895690470625,1165.6798059757962,2016.341055232001,1.6393902
M7_single_alpha_full_response,4,-0.05973682383711054,0.003568488122145978,TRUE,alpha_general,"alpha[1,1]",0.14886983616288946,0.067145437,0.0016750864650000002,0.63197108850000006,1.000600488807269,4885.726320511348,2587.689081591239,0.20860666
M7_single_alpha_full_response,4,0.208245419574378,0.04336615477370874,TRUE,alpha_general,"alpha[2,1]",0.262036790574378,0.128461775,0.00447264489,0.8990407055,1.0025878608643353,6016.834758940342,2817.746325968571,0.053791371
M7_single_alpha_full_response,4,0.014977014819698249,2.2431097290946097e-4,TRUE,alpha_general,"alpha[3,1]",0.02563186181969825,0.0212894655,0.0052964762000000006,0.06086664139999999,1.001955571564218,5326.331217731653,2656.49231914462,0.010654847
M7_single_alpha_full_response,4,-0.17858698944000007,0.031893312797242696,TRUE,alpha_general,"alpha[4,1]",0.54669029056,0.539374865,0.34285340400000003,0.7755776375,1.0016629126979368,5677.906260382714,2280.2562748187065,0.72527728
M7_single_alpha_full_response,4,-0.4431037624741696,0.1963409443187653,FALSE,alpha_general,"alpha[5,1]",0.06659631752583038,0.0117517065,6.477298635000001e-4,0.4255980805,1.0038156610609896,3539.046946992354,2526.9095429628037,0.50970008
M7_single_alpha_full_response,4,0.0794004173765,0.006304426279562403,TRUE,alpha_general,"alpha[6,1]",0.5215109773765,0.50605888,0.2798537735,0.8119315745,1.002788114497124,4594.4574581428005,2355.674075990096,0.44211056
M7_single_alpha_full_response,4,0.11025234572014962,0.012155579736795395,TRUE,alpha_general,"alpha[7,1]",0.11582879632014963,0.025983421,8.22508299e-4,0.6542373939999995,1.001375010471354,5102.483660978482,2581.621626068161,0.0055764506
M7_single_alpha_full_response,4,0.19433884610167335,0.03776758710412988,TRUE,alpha_general,"alpha[8,1]",0.20654722410167334,0.062139163,8.484676490000001e-4,0.8934086929999999,0.9997714979717021,6331.764914751924,2924.7723142533223,0.012208378
M7_single_alpha_full_response,4,-0.21313703526441483,0.04542739580130441,TRUE,alpha_general,"alpha[9,1]",0.2308151547355852,0.084901741,0.0015136885700000001,0.9028145839999997,1.001143998362375,7752.2472249682705,2982.6355166700537,0.44395219
M7_single_alpha_full_response,4,-1.7690673873430995e-4,3.1295994209609396e-8,TRUE,alpha_general,"alpha[10,1]",9.9701956126569e-4,6.89470205e-4,6.46665764e-5,0.0029199633299999994,0.9998590014369166,6232.675073933594,2910.5721116500345,0.0011739263
M7_single_alpha_full_response,4,-0.06440298615018247,0.004147744625060595,TRUE,alpha_general,"alpha[11,1]",0.2875244338498175,0.15395306,0.00202897285,0.9177041735000001,1.0000708782008436,7024.0194610909875,2703.7317507150897,0.35192742
M7_single_alpha_full_response,4,0.15454037529050002,0.02388272759492859,TRUE,alpha_general,"alpha[12,1]",0.3288403852905,0.276353215,0.1027843955,0.7516030394999991,1.0016490977325736,4423.207867607305,2432.1520933610655,0.17430001
M7_single_alpha_full_response,4,0.152783809678804,0.023342892499969004,TRUE,alpha_general,"alpha[13,1]",0.231764042678804,0.11847429500000001,0.002554466205,0.8408537369999999,1.0011720901859227,7013.166387365215,2826.644788444468,0.078980233
M7_single_alpha_full_response,4,-0.48704624072900793,0.23721404060825874,TRUE,alpha_general,"alpha[14,1]",0.187179509270992,0.0645663065,0.00125006697,0.8500844549999996,1.000239347121785,5848.413245785461,2979.705485319913,0.67422575
M7_single_alpha_full_response,4,-0.08323463785766749,0.006928004939297055,TRUE,alpha_general,"alpha[15,1]",0.6931448321423325,0.739947695,0.21167754850000003,0.980413642,1.0016534518466789,3333.3027069464365,1030.0061970603708,0.77637947
M7_single_alpha_full_response,4,0.141254464005234,0.019952823601405947,TRUE,alpha_general,"alpha[16,1]",0.177369826005234,0.0596675085,0.0010501874300000002,0.815872505,1.0004693721175324,6429.451995057272,2695.6695653959055,0.036115362
M7_single_alpha_full_response,4,0.06428034980394433,0.004131963370917446,TRUE,alpha_general,"alpha[17,1]",0.10731483580394433,0.0184609555,6.406790955000001e-4,0.6299068054999999,1.0001863436245773,4969.677514228635,3237.5977395985874,0.043034486
M7_single_alpha_full_response,4,-0.33210147485548747,0.11029138960118998,TRUE,alpha_general,"alpha[18,1]",0.5255598251445125,0.5000891599999999,0.129054943,0.9691125719999999,1.0015634712056622,5141.793020508833,2810.0078907289458,0.8576613
M7_single_alpha_full_response,4,-0.34312076826753024,0.11773186161650019,TRUE,alpha_general,"alpha[19,1]",0.18093604173246983,0.0614907475,0.0013668145800000001,0.8302431585000001,0.9997966701144249,7069.5712345251895,2861.3072746551134,0.52405681
M7_single_alpha_full_response,4,0.2525840108963221,0.06379868256047336,FALSE,alpha_general,"alpha[20,1]",0.2544466875963221,0.10861434,0.0020282788350000002,0.9141304214999999,0.9999531113466479,7988.315412546589,3191.608489550377,0.0018626767
M7_single_alpha_full_response,4,0.2534450160348105,0.06423437615288535,TRUE,alpha_general,"alpha[21,1]",0.7967233560348105,0.86009427,0.32759285650000003,0.991707023,1.0009728996991951,3176.887044890559,1037.2018262947465,0.54327834
M7_single_alpha_full_response,4,0.199171900548671,0.039669445968169695,TRUE,alpha_general,"alpha[22,1]",0.202656136548671,0.07414126700000001,0.00195861009,0.8373688179999995,1.0022225263825744,6271.13263088011,2480.8489580880632,0.003484236
M7_single_alpha_full_response,4,0.0019297093574607502,3.723778204271581e-6,TRUE,alpha_general,"alpha[23,1]",0.00630371335746075,0.00551252185,9.792423950000001e-4,0.0140010569,0.9999921325556753,5015.2707114172,2373.1986697558564,0.004374004
M7_single_alpha_full_response,4,-0.09579926662325,0.009177499485552541,TRUE,alpha_general,"alpha[24,1]",0.80090719337675,0.8338058450000001,0.5128896829999999,0.9868015075,1.0004242092559106,5859.410745083742,2561.047072050261,0.89670646
M7_single_alpha_full_response,4,-0.21801199828268258,0.04752923139520839,TRUE,alpha_general,"alpha[25,1]",0.5743512917173175,0.6048765,0.02676884445,0.9831426345,1.0008693339649501,4930.274383932507,2201.7066254448655,0.79236329
M7_single_alpha_full_response,4,0.006368372215775,4.0556164678654986e-5,FALSE,alpha_general,"alpha[26,1]",0.010128296715775,0.00985023765,0.005022167950000001,0.0161325968,0.9993906478839188,4726.24319925945,3508.113685084849,0.0037599245
M7_single_alpha_full_response,4,0.11200622899266588,0.012545395333157506,FALSE,alpha_general,"alpha[27,1]",0.11209531531666588,0.06525436400000001,0.0030825544350000004,0.41763216599999997,0.9999580540396217,3693.55602229952,2251.495344020458,8.9086324e-5
M7_single_alpha_full_response,4,0.10010324371123225,0.01002065940151036,TRUE,alpha_general,"alpha[28,1]",0.10522177611123225,0.0292469115,9.806963030000004e-4,0.5837342319999992,1.0029401729123826,4358.556023013188,2560.0223063921912,0.0051185324
M7_single_alpha_full_response,4,-0.21086215043062995,0.044462846484229615,TRUE,alpha_general,"alpha[29,1]",0.59200780956937,0.63794803,0.0675086602,0.9711360095000001,1.0020413147480318,4995.257270346814,2140.7900584909107,0.80286996
M7_single_alpha_full_response,4,-0.5518605450660881,0.3045500612006398,FALSE,alpha_general,"alpha[30,1]",0.446208284933912,0.31335265,0.0415410846,0.9800156615,1.0001341472395795,2205.97426110588,2917.7752667416903,0.99806883
M7_single_alpha_full_response,4,-0.06264588757881251,0.003924507230537215,TRUE,alpha_general,"alpha[31,1]",0.4152441124211875,0.38655288499999996,0.0512697188,0.8804100449999999,1.002534066951122,5586.907723475322,2154.061599408249,0.47789
M7_single_alpha_full_response,4,-0.3442750605877058,0.1185253173426685,TRUE,alpha_general,"alpha[32,1]",0.42361154941229423,0.39749983,0.1336135965,0.8143904659999995,1.000578347527087,3347.5438296256966,1735.9275965693394,0.76788661
M7_single_alpha_full_response,4,0.14899203008708806,0.02219862502947175,TRUE,alpha_general,"alpha[33,1]",0.32853190008708805,0.20567562,0.0026993190300000003,0.944807569,1.0009509253680486,8104.925340090023,2858.2372262519953,0.17953987
M7_single_alpha_full_response,4,-0.13541547140392507,0.018337349895547247,TRUE,alpha_general,"alpha[34,1]",0.531575488596075,0.52801912,0.16972766849999998,0.9024090159999998,1.0002072361505132,5229.217308513157,2026.2858821043917,0.66699096
M7_single_alpha_full_response,4,6.7278478667735e-4,4.526393691844874e-7,TRUE,alpha_general,"alpha[35,1]",9.4038314667735e-4,7.4651368e-4,7.175977085e-5,0.0024455731699999997,1.000992933739225,4374.931421255208,2830.8022454597185,2.6759836e-4
M7_single_alpha_full_response,4,-0.051889744097982526,0.0026925455425541125,TRUE,alpha_general,"alpha[36,1]",0.8601982259020174,0.9192476700000001,0.521362791,0.9940041275,1.0007178071987823,4438.574011142658,1655.8101774116456,0.91208797
M7_single_alpha_full_response,4,0.3438977311348706,0.11826564947971174,TRUE,alpha_general,"alpha[37,1]",0.3518970970348706,0.239133965,0.003468906780000001,0.9461966034999998,0.999492209331837,6267.756493315783,2958.2344584965786,0.0079993659
M7_single_alpha_full_response,4,-0.029237649942024005,8.548401741323363e-4,TRUE,alpha_general,"alpha[38,1]",0.118068050057976,0.09230493649999999,0.00252127353,0.3237680865,1.0013887290779289,3333.2392441192796,2606.5638144391805,0.1473057
M7_single_alpha_full_response,4,-0.03061227133668183,9.37111156390632e-4,TRUE,alpha_general,"alpha[39,1]",0.10824583866331818,0.0357523045,0.004565588230000001,0.6016329839999999,1.000841779165502,3872.6594778767335,2192.5207120879595,0.13885811
M7_single_alpha_full_response,4,6.572683358036749e-4,4.320016652501324e-7,TRUE,alpha_general,"alpha[40,1]",0.002120824835803675,0.0015870021000000002,1.27655439e-4,0.0058217218999999975,1.000771975610975,5775.660207098845,2755.936115651581,0.0014635565
M7_single_alpha_full_response,4,-0.22485770067996816,0.05056098555508215,TRUE,alpha_general,"alpha[41,1]",0.12854592932003187,0.0438262835,0.0011310232499999997,0.6150009955,0.9999997341922678,5156.156670177593,2776.3776381692933,0.35340363
M7_single_alpha_full_response,4,0.12795802300772743,0.016373255652046104,TRUE,alpha_general,"alpha[42,1]",0.14275421100772742,0.0482643155,0.0012344629200000002,0.7015748439999997,0.9998871339454001,4652.248562598745,2663.990393468171,0.014796188
