model,ppc_draw,metric,value
M3_block_alpha_stickiness,1,optimal_choice,0.6001292824822236
M3_block_alpha_stickiness,1,choose_blue,0.5346153846153846
M3_block_alpha_stickiness,1,stay_rate,0.6115061409179057
M3_block_alpha_stickiness,1,switch_after_loss,0.4623072529982867
M3_block_alpha_stickiness,1,switch_after_no_loss,0.32742735648476257
M3_block_alpha_stickiness,2,optimal_choice,0.6078862314156431
M3_block_alpha_stickiness,2,choose_blue,0.5342307692307692
M3_block_alpha_stickiness,2,stay_rate,0.6007756948933419
M3_block_alpha_stickiness,2,switch_after_loss,0.4692547463870785
M3_block_alpha_stickiness,2,switch_after_no_loss,0.34046600095102236
M3_block_alpha_stickiness,3,optimal_choice,0.5927601809954751
M3_block_alpha_stickiness,3,choose_blue,0.5314102564102564
M3_block_alpha_stickiness,3,stay_rate,0.6078862314156431
M3_block_alpha_stickiness,3,switch_after_loss,0.4538848518725545
M3_block_alpha_stickiness,3,switch_after_no_loss,0.3389463555448641
M3_block_alpha_stickiness,4,optimal_choice,0.6006464124111183
M3_block_alpha_stickiness,4,choose_blue,0.5284615384615384
M3_block_alpha_stickiness,4,stay_rate,0.6081447963800904
M3_block_alpha_stickiness,4,switch_after_loss,0.4645198062125962
M3_block_alpha_stickiness,4,switch_after_no_loss,0.3315191670610506
M3_block_alpha_stickiness,5,optimal_choice,0.5956043956043956
M3_block_alpha_stickiness,5,choose_blue,0.5217948717948718
M3_block_alpha_stickiness,5,stay_rate,0.6067226890756302
M3_block_alpha_stickiness,5,switch_after_loss,0.45781426953567383
M3_block_alpha_stickiness,5,switch_after_no_loss,0.3390435403283369
M3_block_alpha_stickiness,6,optimal_choice,0.6091790562378797
M3_block_alpha_stickiness,6,choose_blue,0.5221794871794871
M3_block_alpha_stickiness,6,stay_rate,0.6063348416289592
M3_block_alpha_stickiness,6,switch_after_loss,0.47203389830508474
M3_block_alpha_stickiness,6,switch_after_no_loss,0.32753277711561385
M3_block_alpha_stickiness,7,optimal_choice,0.6046541693600517
M3_block_alpha_stickiness,7,choose_blue,0.5319230769230769
M3_block_alpha_stickiness,7,stay_rate,0.6063348416289592
M3_block_alpha_stickiness,7,switch_after_loss,0.47042173789980185
M3_block_alpha_stickiness,7,switch_after_no_loss,0.329128986197049
M3_block_alpha_stickiness,8,optimal_choice,0.5987071751777634
M3_block_alpha_stickiness,8,choose_blue,0.5119230769230769
M3_block_alpha_stickiness,8,stay_rate,0.6040077569489334
M3_block_alpha_stickiness,8,switch_after_loss,0.4738888888888889
M3_block_alpha_stickiness,8,switch_after_no_loss,0.32817412333736395
M3_block_alpha_stickiness,9,optimal_choice,0.5971557853910795
