model,metric,observed,posterior_predictive_mean,posterior_predictive_median,lower_95,upper_95,p_upper,p_two_sided
M3_block_alpha_stickiness,choose_blue,0.558076923076923,0.5251029914529914,0.525,0.5114583333333333,0.5382179487179486,0,0
M3_block_alpha_stickiness,optimal_choice,0.5923723335488041,0.5994225382460676,0.5994182288299935,0.5858338720103426,0.6125727213962509,0.8433333333333334,0.31333333333333335
M3_block_alpha_stickiness,stay_rate,0.61590174531351,0.6110760611937083,0.6107304460245637,0.59710407239819,0.625284421460892,0.24666666666666667,0.49333333333333335
M3_block_alpha_stickiness,switch_after_loss,0.48014959723820483,0.4590433450790806,0.4589110284796357,0.4384810981037594,0.47650022956711335,0.013333333333333334,0.02666666666666667
M3_block_alpha_stickiness,switch_after_no_loss,0.30570556468654614,0.32971831234157895,0.3294505744977575,0.3120753190565321,0.3471787798539968,0.9966666666666667,0.006666666666666667
M4_block_alpha_full_response,choose_blue,0.558076923076923,0.526190170940171,0.526025641025641,0.5128141025641026,0.5403974358974359,0,0
M4_block_alpha_full_response,optimal_choice,0.5923723335488041,0.5994880413703942,0.5994182288299935,0.5866160310277958,0.6123076923076923,0.8733333333333333,0.25333333333333335
M4_block_alpha_full_response,stay_rate,0.61590174531351,0.6108730876966171,0.6108597285067874,0.5966321913380737,0.6245701357466064,0.25666666666666665,0.5133333333333333
M4_block_alpha_full_response,switch_after_loss,0.48014959723820483,0.45803253196257393,0.4582272376666996,0.43627785490850046,0.4769692694583372,0.01,0.02
M4_block_alpha_full_response,switch_after_no_loss,0.30570556468654614,0.33081991446178005,0.33071412401820044,0.31414341990662487,0.34738744464043453,1,0
M7_single_alpha_full_response,choose_blue,0.558076923076923,0.524607264957265,0.5246794871794871,0.5107435897435897,0.5392435897435897,0,0
M7_single_alpha_full_response,optimal_choice,0.5923723335488041,0.5991389786683904,0.5990303813833225,0.5866160310277958,0.6122818358112476,0.8866666666666667,0.24666666666666667
M7_single_alpha_full_response,stay_rate,0.61590174531351,0.6121835811247576,0.6120232708468003,0.5990271493212669,0.6269036845507434,0.31333333333333335,0.6266666666666667
M7_single_alpha_full_response,switch_after_loss,0.48014959723820483,0.4607101932422775,0.46075162753374554,0.44088050549428653,0.47845153241568594,0.02,0.04
M7_single_alpha_full_response,switch_after_no_loss,0.30570556468654614,0.3262862600462767,0.3265693624110253,0.3107101176108962,0.3429719723400795,0.9966666666666667,0.006666666666666667
