model,ppc_draw,condition,metric,value
M3_block_alpha_stickiness,1,Stable,optimal_choice,0.6038461538461538
M3_block_alpha_stickiness,1,Stable,choose_blue,0.5843589743589743
M3_block_alpha_stickiness,1,Stable,stay_rate,0.6226857887874837
M3_block_alpha_stickiness,1,Stable,switch_after_loss,0.4484149855907781
M3_block_alpha_stickiness,1,Stable,switch_after_no_loss,0.31857142857142856
M3_block_alpha_stickiness,1,Volatile1,optimal_choice,0.62
M3_block_alpha_stickiness,1,Volatile1,choose_blue,0.41615384615384615
M3_block_alpha_stickiness,1,Volatile1,stay_rate,0.5892307692307692
M3_block_alpha_stickiness,1,Volatile1,switch_after_loss,0.4878048780487805
M3_block_alpha_stickiness,1,Volatile1,switch_after_no_loss,0.349862258953168
M3_block_alpha_stickiness,1,Volatile2,optimal_choice,0.611336032388664
M3_block_alpha_stickiness,1,Volatile2,choose_blue,0.5946153846153847
M3_block_alpha_stickiness,1,Volatile2,stay_rate,0.6246153846153846
M3_block_alpha_stickiness,1,Volatile2,switch_after_loss,0.4694244604316547
M3_block_alpha_stickiness,1,Volatile2,switch_after_no_loss,0.30510752688172044
M3_block_alpha_stickiness,1,Volatile3,optimal_choice,0.5584615384615385
M3_block_alpha_stickiness,1,Volatile3,choose_blue,0.44384615384615383
M3_block_alpha_stickiness,1,Volatile3,stay_rate,0.5876923076923077
M3_block_alpha_stickiness,1,Volatile3,switch_after_loss,0.47095761381475665
M3_block_alpha_stickiness,1,Volatile3,switch_after_no_loss,0.3559577677224736
M3_block_alpha_stickiness,2,Stable,optimal_choice,0.6210256410256411
M3_block_alpha_stickiness,2,Stable,choose_blue,0.5841025641025641
M3_block_alpha_stickiness,2,Stable,stay_rate,0.5979139504563233
M3_block_alpha_stickiness,2,Stable,switch_after_loss,0.46959459459459457
M3_block_alpha_stickiness,2,Stable,switch_after_no_loss,0.3438562408936377
M3_block_alpha_stickiness,2,Volatile1,optimal_choice,0.6130769230769231
M3_block_alpha_stickiness,2,Volatile1,choose_blue,0.41846153846153844
M3_block_alpha_stickiness,2,Volatile1,stay_rate,0.6076923076923076
M3_block_alpha_stickiness,2,Volatile1,switch_after_loss,0.46286701208981
M3_block_alpha_stickiness,2,Volatile1,switch_after_no_loss,0.3356449375866852
M3_block_alpha_stickiness,2,Volatile2,optimal_choice,0.617004048582996
M3_block_alpha_stickiness,2,Volatile2,choose_blue,0.5807692307692308
M3_block_alpha_stickiness,2,Volatile2,stay_rate,0.5969230769230769
M3_block_alpha_stickiness,2,Volatile2,switch_after_loss,0.46621621621621623
M3_block_alpha_stickiness,2,Volatile2,switch_after_no_loss,0.3502824858757062
M3_block_alpha_stickiness,2,Volatile3,optimal_choice,0.5546153846153846
M3_block_alpha_stickiness,2,Volatile3,choose_blue,0.45384615384615384
M3_block_alpha_stickiness,2,Volatile3,stay_rate,0.6061538461538462
M3_block_alpha_stickiness,2,Volatile3,switch_after_loss,0.47766323024054985
M3_block_alpha_stickiness,2,Volatile3,switch_after_no_loss,0.32590529247910865
M3_block_alpha_stickiness,3,Stable,optimal_choice,0.5961538461538461
M3_block_alpha_stickiness,3,Stable,choose_blue,0.5756410256410256
M3_block_alpha_stickiness,3,Stable,stay_rate,0.6148631029986962
M3_block_alpha_stickiness,3,Stable,switch_after_loss,0.45050618672665915
M3_block_alpha_stickiness,3,Stable,switch_after_no_loss,0.32863393291200776
M3_block_alpha_stickiness,3,Volatile1,optimal_choice,0.5930769230769231
M3_block_alpha_stickiness,3,Volatile1,choose_blue,0.43846153846153846
M3_block_alpha_stickiness,3,Volatile1,stay_rate,0.5892307692307692
M3_block_alpha_stickiness,3,Volatile1,switch_after_loss,0.46798029556650245
M3_block_alpha_stickiness,3,Volatile1,switch_after_no_loss,0.36034732272069464
M3_block_alpha_stickiness,3,Volatile2,optimal_choice,0.611336032388664
M3_block_alpha_stickiness,3,Volatile2,choose_blue,0.5746153846153846
M3_block_alpha_stickiness,3,Volatile2,stay_rate,0.6215384615384615
M3_block_alpha_stickiness,3,Volatile2,switch_after_loss,0.4554794520547945
M3_block_alpha_stickiness,3,Volatile2,switch_after_no_loss,0.31564245810055863
M3_block_alpha_stickiness,3,Volatile3,optimal_choice,0.5646153846153846
M3_block_alpha_stickiness,3,Volatile3,choose_blue,0.44846153846153847
M3_block_alpha_stickiness,3,Volatile3,stay_rate,0.5923076923076923
M3_block_alpha_stickiness,3,Volatile3,switch_after_loss,0.44810543657331137
M3_block_alpha_stickiness,3,Volatile3,switch_after_no_loss,0.3722943722943723
M3_block_alpha_stickiness,4,Stable,optimal_choice,0.602051282051282
M3_block_alpha_stickiness,4,Stable,choose_blue,0.5676923076923077
M3_block_alpha_stickiness,4,Stable,stay_rate,0.6028683181225554
M3_block_alpha_stickiness,4,Stable,switch_after_loss,0.4703222159412097
M3_block_alpha_stickiness,4,Stable,switch_after_no_loss,0.3344627299128751
M3_block_alpha_stickiness,4,Volatile1,optimal_choice,0.6092307692307692
M3_block_alpha_stickiness,4,Volatile1,choose_blue,0.4207692307692308
M3_block_alpha_stickiness,4,Volatile1,stay_rate,0.6330769230769231
M3_block_alpha_stickiness,4,Volatile1,switch_after_loss,0.4365482233502538
M3_block_alpha_stickiness,4,Volatile1,switch_after_no_loss,0.30888575458392104
M3_block_alpha_stickiness,4,Volatile2,optimal_choice,0.6218623481781377
M3_block_alpha_stickiness,4,Volatile2,choose_blue,0.6030769230769231
M3_block_alpha_stickiness,4,Volatile2,stay_rate,0.6161538461538462
M3_block_alpha_stickiness,4,Volatile2,switch_after_loss,0.4738675958188153
M3_block_alpha_stickiness,4,Volatile2,switch_after_no_loss,0.31267217630853994
M3_block_alpha_stickiness,4,Volatile3,optimal_choice,0.5676923076923077
M3_block_alpha_stickiness,4,Volatile3,choose_blue,0.44384615384615383
M3_block_alpha_stickiness,4,Volatile3,stay_rate,0.5907692307692308
M3_block_alpha_stickiness,4,Volatile3,switch_after_loss,0.46608695652173915
M3_block_alpha_stickiness,4,Volatile3,switch_after_no_loss,0.3641379310344828
M3_block_alpha_stickiness,5,Stable,optimal_choice,0.5987179487179487
M3_block_alpha_stickiness,5,Stable,choose_blue,0.5674358974358974
M3_block_alpha_stickiness,5,Stable,stay_rate,0.6091264667535854
M3_block_alpha_stickiness,5,Stable,switch_after_loss,0.44931662870159456
M3_block_alpha_stickiness,5,Stable,switch_after_no_loss,0.3415103415103415
M3_block_alpha_stickiness,5,Volatile1,optimal_choice,0.5976923076923077
M3_block_alpha_stickiness,5,Volatile1,choose_blue,0.42
M3_block_alpha_stickiness,5,Volatile1,stay_rate,0.6192307692307693
M3_block_alpha_stickiness,5,Volatile1,switch_after_loss,0.44880546075085326
M3_block_alpha_stickiness,5,Volatile1,switch_after_no_loss,0.32492997198879553
M3_block_alpha_stickiness,5,Volatile2,optimal_choice,0.6105263157894737
M3_block_alpha_stickiness,5,Volatile2,choose_blue,0.5623076923076923
M3_block_alpha_stickiness,5,Volatile2,stay_rate,0.5923076923076923
M3_block_alpha_stickiness,5,Volatile2,switch_after_loss,0.4708904109589041
M3_block_alpha_stickiness,5,Volatile2,switch_after_no_loss,0.35614525139664804
M3_block_alpha_stickiness,5,Volatile3,optimal_choice,0.57
M3_block_alpha_stickiness,5,Volatile3,choose_blue,0.4461538461538462
