model,condition,metric,observed,posterior_predictive_mean,posterior_predictive_median,lower_95,upper_95,p_upper,p_two_sided
M3_block_alpha_stickiness,Stable,choose_blue,0.634102564102564,0.5690478632478633,0.5694871794871795,0.5495833333333333,0.5883397435897435,0,0
M3_block_alpha_stickiness,Stable,optimal_choice,0.6074358974358974,0.6039982905982906,0.6035897435897436,0.5881923076923077,0.6193653846153846,0.3433333333333333,0.6866666666666666
M3_block_alpha_stickiness,Stable,stay_rate,0.6378096479791395,0.6098904823989569,0.6104302477183833,0.5917666232073011,0.627542372881356,0,0
M3_block_alpha_stickiness,Stable,switch_after_loss,0.47511848341232227,0.45661153695591794,0.4561926594788719,0.4300348095725173,0.48292010120183704,0.09,0.18
M3_block_alpha_stickiness,Stable,switch_after_no_loss,0.2734047508150908,0.3332753016312567,0.333091627209226,0.3124350254939715,0.35819037928062586,1,0
M3_block_alpha_stickiness,Volatile1,choose_blue,0.4553846153846154,0.4301794871794872,0.4307692307692308,0.3953846153846154,0.4612115384615384,0.07,0.14
M3_block_alpha_stickiness,Volatile1,optimal_choice,0.5853846153846154,0.6002307692307692,0.5984615384615385,0.573076923076923,0.6300384615384615,0.86,0.3
M3_block_alpha_stickiness,Volatile1,stay_rate,0.6053846153846154,0.6107076923076923,0.6107692307692307,0.5846153846153846,0.6361538461538462,0.6533333333333333,0.76
M3_block_alpha_stickiness,Volatile1,switch_after_loss,0.43790849673202614,0.46170435705563884,0.46120967882625913,0.4172705159641068,0.4995869565217391,0.8666666666666667,0.26666666666666666
M3_block_alpha_stickiness,Volatile1,switch_after_no_loss,0.3561046511627907,0.3286402590021096,0.3286810682353858,0.2924699145962733,0.36349222732821135,0.07666666666666666,0.15333333333333332
M3_block_alpha_stickiness,Volatile2,choose_blue,0.573076923076923,0.575648717948718,0.5761538461538461,0.5449807692307692,0.6069615384615383,0.59,0.8533333333333334
M3_block_alpha_stickiness,Volatile2,optimal_choice,0.5668016194331984,0.6131605937921727,0.6121457489878542,0.5846153846153846,0.6453441295546559,1,0
M3_block_alpha_stickiness,Volatile2,stay_rate,0.5792307692307692,0.6169128205128205,0.6176923076923077,0.5937692307692308,0.6380961538461538,0.9966666666666667,0.006666666666666667
M3_block_alpha_stickiness,Volatile2,switch_after_loss,0.5180722891566265,0.45938208884509535,0.4592656781564927,0.4221436707000441,0.49777638795343015,0,0
M3_block_alpha_stickiness,Volatile2,switch_after_no_loss,0.34214186369958277,0.3224698265102526,0.3226703755215577,0.29162469724702794,0.35507015036959333,0.11333333333333333,0.22666666666666666
M3_block_alpha_stickiness,Volatile3,choose_blue,0.4176923076923077,0.43764615384615385,0.43615384615384617,0.40421153846153846,0.4712115384615384,0.88,0.26
M3_block_alpha_stickiness,Volatile3,optimal_choice,0.5784615384615385,0.5718358974358975,0.571923076923077,0.5384230769230769,0.6054230769230768,0.35,0.7
M3_block_alpha_stickiness,Volatile3,stay_rate,0.5984615384615385,0.6091051282051282,0.6084615384615385,0.5795961538461538,0.6350192307692308,0.79,0.4266666666666667
M3_block_alpha_stickiness,Volatile3,switch_after_loss,0.5008403361344538,0.46373108289974485,0.46281050467943674,0.42678164851403866,0.5052026046020502,0.03666666666666667,0.07333333333333333
M3_block_alpha_stickiness,Volatile3,switch_after_no_loss,0.3177304964539007,0.328129562547098,0.3283815606307994,0.2910222822848387,0.36397687208208407,0.7066666666666667,0.5866666666666667
M4_block_alpha_full_response,Stable,choose_blue,0.634102564102564,0.5711418803418803,0.5712820512820512,0.551025641025641,0.5897692307692308,0,0
M4_block_alpha_full_response,Stable,optimal_choice,0.6074358974358974,0.6055282051282052,0.6053846153846154,0.5888397435897437,0.6209038461538462,0.41333333333333333,0.8266666666666667
M4_block_alpha_full_response,Stable,stay_rate,0.6378096479791395,0.6122485875706215,0.6117340286831813,0.5939895697522817,0.6302477183833116,0,0
M4_block_alpha_full_response,Stable,switch_after_loss,0.47511848341232227,0.45494874785148726,0.4550351227351668,0.42909038691740353,0.48074311485558285,0.06666666666666667,0.13333333333333333
M4_block_alpha_full_response,Stable,switch_after_no_loss,0.2734047508150908,0.3304880354730565,0.3304511957341041,0.30802857667156014,0.35367757142560463,1,0
M4_block_alpha_full_response,Volatile1,choose_blue,0.4553846153846154,0.43203846153846154,0.4307692307692308,0.40149999999999997,0.46809615384615383,0.08666666666666667,0.17333333333333334
M4_block_alpha_full_response,Volatile1,optimal_choice,0.5853846153846154,0.6111461538461539,0.6115384615384616,0.583076923076923,0.6408076923076922,0.9666666666666667,0.08
M4_block_alpha_full_response,Volatile1,stay_rate,0.6053846153846154,0.6118846153846154,0.6123076923076923,0.5838076923076922,0.6384615384615384,0.7166666666666667,0.62
M4_block_alpha_full_response,Volatile1,switch_after_loss,0.43790849673202614,0.45256210737669444,0.45132049158894794,0.417148657193251,0.4878437403007815,0.7766666666666666,0.44666666666666666
M4_block_alpha_full_response,Volatile1,switch_after_no_loss,0.3561046511627907,0.3336993187410993,0.3321585641269464,0.30428940242145186,0.3725873158856265,0.11666666666666667,0.23333333333333334
M4_block_alpha_full_response,Volatile2,choose_blue,0.573076923076923,0.5739384615384615,0.575,0.5449807692307692,0.6034807692307691,0.5666666666666667,0.9133333333333333
M4_block_alpha_full_response,Volatile2,optimal_choice,0.5668016194331984,0.6017786774628879,0.6020242914979756,0.5716194331983806,0.6287651821862348,0.9966666666666667,0.013333333333333334
M4_block_alpha_full_response,Volatile2,stay_rate,0.5792307692307692,0.6137,0.6130769230769231,0.5930769230769231,0.6373269230769231,1,0
M4_block_alpha_full_response,Volatile2,switch_after_loss,0.5180722891566265,0.46095391956243137,0.46167200854700857,0.4260327861353643,0.4928093905472637,0.0033333333333333335,0.006666666666666667
M4_block_alpha_full_response,Volatile2,switch_after_no_loss,0.34214186369958277,0.3267685764099723,0.32647450661608635,0.2948805281911549,0.35978822255159043,0.15666666666666668,0.31333333333333335
M4_block_alpha_full_response,Volatile3,choose_blue,0.4176923076923077,0.4377384615384615,0.4369230769230769,0.4076923076923077,0.46809615384615383,0.8966666666666666,0.22
M4_block_alpha_full_response,Volatile3,optimal_choice,0.5784615384615385,0.5675333333333333,0.566923076923077,0.5383846153846155,0.5973269230769231,0.25,0.5
M4_block_alpha_full_response,Volatile3,stay_rate,0.5984615384615385,0.6029769230769231,0.6030769230769231,0.5769230769230769,0.6292692307692307,0.6466666666666666,0.76
M4_block_alpha_full_response,Volatile3,switch_after_loss,0.5008403361344538,0.4699745470573196,0.4689886212672558,0.4326055869637513,0.5128260657202535,0.08,0.16
M4_block_alpha_full_response,Volatile3,switch_after_no_loss,0.3177304964539007,0.33347481400720275,0.333820421407681,0.2989257157423059,0.3675295629605521,0.8266666666666667,0.3466666666666667
M7_single_alpha_full_response,Stable,choose_blue,0.634102564102564,0.5712042735042735,0.5716666666666667,0.5494743589743589,0.5916858974358974,0,0
M7_single_alpha_full_response,Stable,optimal_choice,0.6074358974358974,0.6032487179487179,0.6030769230769231,0.5861538461538461,0.6188525641025641,0.32666666666666666,0.6533333333333333
M7_single_alpha_full_response,Stable,stay_rate,0.6378096479791395,0.6127283789656671,0.6122555410691004,0.5954302477183833,0.631825293350717,0.0033333333333333335,0.006666666666666667
M7_single_alpha_full_response,Stable,switch_after_loss,0.47511848341232227,0.46069844437796126,0.4614720895497891,0.4351132301784497,0.48324313160009225,0.14333333333333334,0.2866666666666667
M7_single_alpha_full_response,Stable,switch_after_no_loss,0.2734047508150908,0.32451878325541417,0.3239994302805868,0.30454109458731016,0.3458941479897364,1,0
M7_single_alpha_full_response,Volatile1,choose_blue,0.4553846153846154,0.4260025641025641,0.42538461538461536,0.39728846153846153,0.45615384615384613,0.03,0.06
M7_single_alpha_full_response,Volatile1,optimal_choice,0.5853846153846154,0.6147871794871795,0.6153846153846154,0.5845769230769231,0.6419423076923076,0.9733333333333334,0.06
M7_single_alpha_full_response,Volatile1,stay_rate,0.6053846153846154,0.6136692307692307,0.6146153846153846,0.5861153846153846,0.6380961538461538,0.7466666666666667,0.5333333333333333
M7_single_alpha_full_response,Volatile1,switch_after_loss,0.43790849673202614,0.4546211922736153,0.4540855754751826,0.4187064644750116,0.4916835160901507,0.8033333333333333,0.4
M7_single_alpha_full_response,Volatile1,switch_after_no_loss,0.3561046511627907,0.32934833699661203,0.32816901408450705,0.29913724503053135,0.3611767978998345,0.056666666666666664,0.11333333333333333
M7_single_alpha_full_response,Volatile2,choose_blue,0.573076923076923,0.5733820512820513,0.5738461538461539,0.5415,0.6042884615384615,0.5266666666666666,0.98
M7_single_alpha_full_response,Volatile2,optimal_choice,0.5668016194331984,0.6004264507422402,0.6008097165991902,0.5704251012145749,0.6291497975708502,0.9966666666666667,0.013333333333333334
M7_single_alpha_full_response,Volatile2,stay_rate,0.5792307692307692,0.6159897435897436,0.6161538461538462,0.5911346153846154,0.6415384615384615,1,0
M7_single_alpha_full_response,Volatile2,switch_after_loss,0.5180722891566265,0.45805395757149114,0.45762594813595603,0.42516408718904464,0.49744040324291194,0,0
M7_single_alpha_full_response,Volatile2,switch_after_no_loss,0.34214186369958277,0.3248974450767531,0.32373113854595337,0.2937348079727759,0.3558602390469168,0.15333333333333332,0.30666666666666664
M7_single_alpha_full_response,Volatile3,choose_blue,0.4176923076923077,0.43464615384615385,0.4346153846153846,0.4026730769230769,0.4646153846153846,0.8533333333333334,0.31333333333333335
M7_single_alpha_full_response,Volatile3,optimal_choice,0.5784615384615385,0.5699384615384615,0.5692307692307692,0.5395961538461538,0.5992307692307692,0.29,0.58
M7_single_alpha_full_response,Volatile3,stay_rate,0.5984615384615385,0.6052846153846154,0.6053846153846154,0.5784230769230769,0.6331153846153845,0.6533333333333333,0.7333333333333333
M7_single_alpha_full_response,Volatile3,switch_after_loss,0.5008403361344538,0.4696245077205207,0.46954627650830183,0.42753506590081547,0.5091499884025316,0.04,0.08
M7_single_alpha_full_response,Volatile3,switch_after_no_loss,0.3177304964539007,0.3301568314051867,0.3304150702426565,0.296036889332004,0.3624648160580435,0.7666666666666667,0.4666666666666667
