model,condition,trial_within_phase,metric,observed,posterior_predictive_mean,posterior_predictive_median,lower_95,upper_95
M3_block_alpha_stickiness,Volatile1,1,choose_blue,0.676923076923077,0.5535897435897436,0.5538461538461539,0.4461538461538462,0.6615384615384615
M3_block_alpha_stickiness,Volatile1,1,optimal_choice,0.36923076923076925,0.486,0.48461538461538467,0.3765384615384616,0.6080769230769227
M3_block_alpha_stickiness,Volatile1,2,choose_blue,0.5230769230769231,0.4805128205128205,0.47692307692307695,0.38461538461538464,0.5926923076923074
M3_block_alpha_stickiness,Volatile1,2,optimal_choice,0.5230769230769231,0.5558974358974359,0.5538461538461539,0.46153846153846156,0.676923076923077
M3_block_alpha_stickiness,Volatile1,3,choose_blue,0.47692307692307695,0.4895897435897436,0.49230769230769234,0.4,0.5926923076923074
M3_block_alpha_stickiness,Volatile1,3,optimal_choice,0.5692307692307692,0.5738974358974359,0.5692307692307692,0.4688461538461539,0.676923076923077
M3_block_alpha_stickiness,Volatile1,4,choose_blue,0.5384615384615384,0.42400000000000004,0.4153846153846154,0.31500000000000006,0.5384615384615384
M3_block_alpha_stickiness,Volatile1,4,optimal_choice,0.49230769230769234,0.5997948717948718,0.6,0.47692307692307695,0.7076923076923077
M3_block_alpha_stickiness,Volatile1,5,choose_blue,0.5076923076923077,0.457025641025641,0.46153846153846156,0.36923076923076925,0.5538461538461539
M3_block_alpha_stickiness,Volatile1,5,optimal_choice,0.5846153846153846,0.576923076923077,0.5769230769230769,0.46153846153846156,0.676923076923077
M3_block_alpha_stickiness,Volatile1,6,choose_blue,0.47692307692307695,0.43861538461538463,0.4461538461538462,0.3384615384615385,0.5538461538461539
M3_block_alpha_stickiness,Volatile1,6,optimal_choice,0.6307692307692307,0.5911282051282052,0.5846153846153846,0.47692307692307695,0.6923076923076923
M3_block_alpha_stickiness,Volatile1,7,choose_blue,0.5384615384615384,0.443948717948718,0.4461538461538462,0.34576923076923083,0.5692307692307692
M3_block_alpha_stickiness,Volatile1,7,optimal_choice,0.5230769230769231,0.5841538461538461,0.5846153846153846,0.47692307692307695,0.6923076923076923
M3_block_alpha_stickiness,Volatile1,8,choose_blue,0.5076923076923077,0.4356923076923077,0.4461538461538462,0.3230769230769231,0.5384615384615384
M3_block_alpha_stickiness,Volatile1,8,optimal_choice,0.5384615384615384,0.6049230769230769,0.6,0.5076923076923077,0.7076923076923077
M3_block_alpha_stickiness,Volatile1,9,choose_blue,0.4461538461538462,0.41292307692307695,0.4153846153846154,0.31500000000000006,0.5230769230769231
M3_block_alpha_stickiness,Volatile1,9,optimal_choice,0.6461538461538462,0.6243076923076923,0.6307692307692307,0.5230769230769231,0.7230769230769231
M3_block_alpha_stickiness,Volatile1,10,choose_blue,0.47692307692307695,0.39456410256410257,0.4,0.2923076923076923,0.4849999999999997
M3_block_alpha_stickiness,Volatile1,10,optimal_choice,0.6153846153846154,0.6407179487179487,0.6461538461538462,0.5384615384615384,0.7384615384615385
M3_block_alpha_stickiness,Volatile1,11,choose_blue,0.46153846153846156,0.4174871794871795,0.4153846153846154,0.3076923076923077,0.5384615384615384
M3_block_alpha_stickiness,Volatile1,11,optimal_choice,0.5076923076923077,0.613897435897436,0.6153846153846154,0.5076923076923077,0.7230769230769231
M3_block_alpha_stickiness,Volatile1,12,choose_blue,0.46153846153846156,0.42733333333333334,0.4307692307692308,0.3230769230769231,0.5311538461538458
M3_block_alpha_stickiness,Volatile1,12,optimal_choice,0.6307692307692307,0.6348205128205129,0.6307692307692307,0.5230769230769231,0.7384615384615385
M3_block_alpha_stickiness,Volatile1,13,choose_blue,0.4,0.38174358974358974,0.38461538461538464,0.26884615384615385,0.49230769230769234
M3_block_alpha_stickiness,Volatile1,13,optimal_choice,0.6,0.605948717948718,0.6,0.49230769230769234,0.7076923076923077
M3_block_alpha_stickiness,Volatile1,14,choose_blue,0.36923076923076925,0.41179487179487184,0.4153846153846154,0.2923076923076923,0.5384615384615384
M3_block_alpha_stickiness,Volatile1,14,optimal_choice,0.6,0.6105641025641025,0.6153846153846154,0.4996153846153847,0.7230769230769231
M3_block_alpha_stickiness,Volatile1,15,choose_blue,0.4,0.3792820512820513,0.38461538461538464,0.27692307692307694,0.47692307692307695
M3_block_alpha_stickiness,Volatile1,15,optimal_choice,0.6153846153846154,0.6096410256410256,0.6,0.515,0.7076923076923077
M3_block_alpha_stickiness,Volatile1,16,choose_blue,0.4153846153846154,0.4313846153846154,0.4307692307692308,0.3230769230769231,0.5465384615384612
M3_block_alpha_stickiness,Volatile1,16,optimal_choice,0.6,0.5860512820512821,0.5846153846153846,0.47692307692307695,0.6923076923076923
M3_block_alpha_stickiness,Volatile1,17,choose_blue,0.4,0.4110769230769231,0.4153846153846154,0.2923076923076923,0.5076923076923077
M3_block_alpha_stickiness,Volatile1,17,optimal_choice,0.6615384615384615,0.6330256410256411,0.6307692307692307,0.5384615384615384,0.7384615384615385
M3_block_alpha_stickiness,Volatile1,18,choose_blue,0.36923076923076925,0.39584615384615385,0.4,0.2923076923076923,0.49230769230769234
M3_block_alpha_stickiness,Volatile1,18,optimal_choice,0.6153846153846154,0.6191282051282051,0.6153846153846154,0.515,0.7076923076923077
M3_block_alpha_stickiness,Volatile1,19,choose_blue,0.3384615384615385,0.4084615384615385,0.4,0.2923076923076923,0.5076923076923077
M3_block_alpha_stickiness,Volatile1,19,optimal_choice,0.6615384615384615,0.6350256410256411,0.6307692307692307,0.5230769230769231,0.7538461538461538
M3_block_alpha_stickiness,Volatile1,20,choose_blue,0.3230769230769231,0.40871794871794875,0.4,0.3076923076923077,0.5230769230769231
M3_block_alpha_stickiness,Volatile1,20,optimal_choice,0.7230769230769231,0.6187692307692307,0.6153846153846154,0.4996153846153847,0.7230769230769231
M3_block_alpha_stickiness,Volatile2,1,choose_blue,0.4307692307692308,0.448,0.4461538461538462,0.3230769230769231,0.5692307692307692
M3_block_alpha_stickiness,Volatile2,1,optimal_choice,0.453125,0.4959375,0.5,0.390625,0.6175781249999996
M3_block_alpha_stickiness,Volatile2,2,choose_blue,0.4,0.4776410256410257,0.47692307692307695,0.36923076923076925,0.5846153846153846
M3_block_alpha_stickiness,Volatile2,2,optimal_choice,0.4482758620689655,0.5582183908045977,0.5517241379310345,0.43103448275862066,0.6724137931034483
M3_block_alpha_stickiness,Volatile2,3,choose_blue,0.5076923076923077,0.5445641025641026,0.5384615384615384,0.4461538461538462,0.6461538461538462
M3_block_alpha_stickiness,Volatile2,3,optimal_choice,0.5245901639344263,0.5811475409836065,0.5901639344262295,0.4918032786885246,0.6885245901639344
