model,subject_index,participant_id,alpha_stable,alpha_volatile,delta_log_alpha,beta,rho,side_bias,alpha_general,avoidance,anxiety,insecurity,reappraisal,suppression,maternal_care,maternal_overprotection,paternal_care,paternal_overprotection
M3_block_alpha_stickiness,1,13531305,0.526281759283464,0.23432043369568975,-1.24222530715368,1.0706081902344,0.3477920626993275,NA,NA,4.25,3.444444444,3.823529412,5.333333333,5.5,28,20,33,3
M3_block_alpha_stickiness,2,13531717,0.21888716046959175,0.22408176569084362,-0.114249995564685,0.412416474672585,0.058445097553114,NA,NA,2.875,2.888888889,2.882352941,5.833333333,6.25,30,14,17,9
M3_block_alpha_stickiness,3,13533233,0.01571336002211443,0.03684290282885117,1.16448709044666,3.4269479451425,-0.053050826730045,NA,NA,4.25,4.777777778,4.529411765,3.333333333,5.75,32,4,26,0
M3_block_alpha_stickiness,4,13535036,0.74984161592345,0.656463397215,-0.13279315951659226,3.9644629815,1.7230131096375,NA,NA,4.875,6.333333333,5.647058824,1.833333333,3,26,5,21,7
M3_block_alpha_stickiness,5,13535312,0.2494976333476425,0.3236952856236947,1.0296729916376,0.710801878997725,0.03158466124921425,NA,NA,3.25,3.333333333,3.294117647,5.166666667,5,34,7,15,1
M3_block_alpha_stickiness,6,13536005,0.619934387358325,0.8798083562235,0.46396826701460625,2.28096131451,1.24539635135,NA,NA,2.5,2.888888889,2.705882353,4.166666667,4.5,36,7,21,19
M3_block_alpha_stickiness,7,13536034,0.2935882268161205,0.37860523311977795,0.566978970699047,0.166866894530705,-0.010458709318930275,NA,NA,4.75,4.222222222,4.470588235,2.666666667,1.5,32,9,1,24
M3_block_alpha_stickiness,8,13536157,0.3155427003808345,0.3190537485609502,0.14929501706627502,0.21298281522184,0.1090340128945975,NA,NA,4.5,5.888888889,5.235294118,4,5.25,25,12,16,11
M3_block_alpha_stickiness,9,13536182,0.3388348618428025,0.30981853292808936,0.013678117026732505,0.2717932942396825,-0.014405931598481251,NA,NA,6.25,6.333333333,6.294117647,1,5.5,6,25,5,35
M3_block_alpha_stickiness,10,13536213,0.002373038677879575,0.01209097047598705,1.6708909570391826,42.343317329,0.5727053104405175,NA,NA,1.875,2.444444444,2.176470588,5.333333333,3,36,9,9,19
M3_block_alpha_stickiness,11,13536326,0.2586580105072308,0.2830258616057622,0.684144209833932,0.8946115861892125,0.04819247139906002,NA,NA,5.875,5,5.411764706,4.666666667,6.75,15,23,20,20
