model,predictor,predictor_label,outcome,n,rho,p_value,trait_family,p_fdr_model,p_fdr_family,raw_significant,family_fdr_significant,model_fdr_significant
M3_block_alpha_stickiness,anxiety,Attachment anxiety,alpha_stable,65,0.15594170311517233,0.21480799211371637,Attachment,0.735755710136934,0.4825812901024916,FALSE,FALSE,FALSE
M3_block_alpha_stickiness,anxiety,Attachment anxiety,alpha_volatile,65,-0.041601970783323144,0.7421251897741512,Attachment,0.9317561011816297,0.8208327558028642,FALSE,FALSE,FALSE
M3_block_alpha_stickiness,anxiety,Attachment anxiety,beta,65,0.03844897931342918,0.7610644177627732,Attachment,0.9317561011816297,0.8208327558028642,FALSE,FALSE,FALSE
M3_block_alpha_stickiness,anxiety,Attachment anxiety,delta_log_alpha,65,-0.17652373076586905,0.15953449175162904,Attachment,0.735755710136934,0.4825812901024916,FALSE,FALSE,FALSE
M3_block_alpha_stickiness,anxiety,Attachment anxiety,rho,65,-0.10980730709387662,0.3838882214388736,Attachment,0.735755710136934,0.6398137023981226,FALSE,FALSE,FALSE
M3_block_alpha_stickiness,avoidance,Attachment avoidance,alpha_stable,65,0.006649608121048621,0.9580735715212056,Attachment,0.9958611346063815,0.9580735715212056,FALSE,FALSE,FALSE
M3_block_alpha_stickiness,avoidance,Attachment avoidance,alpha_volatile,65,-0.1946979009389927,0.12014596004390679,Attachment,0.735755710136934,0.4825812901024916,FALSE,FALSE,FALSE
M3_block_alpha_stickiness,avoidance,Attachment avoidance,beta,65,0.1529409867841183,0.22387246604000852,Attachment,0.735755710136934,0.4825812901024916,FALSE,FALSE,FALSE
M3_block_alpha_stickiness,avoidance,Attachment avoidance,delta_log_alpha,65,-0.21324680780297042,0.08808804648140957,Attachment,0.735755710136934,0.4825812901024916,FALSE,FALSE,FALSE
M3_block_alpha_stickiness,avoidance,Attachment avoidance,rho,65,0.08609492619884004,0.49529009016428327,Attachment,0.7960019306211695,0.6753955774967498,FALSE,FALSE,FALSE
